text@nvz1954f	@nvz1954f	128.65	129.34	поэтому так //
text@nvz1954f	@nvz1954f	129.93	132.3	дальше что я там ещё / навякала //
text@nvz1954f	@nvz1954f	135.6	141.4	ну в двадцат... двадцатом году она выросла / да // а что будет в двадцать первом / нет / не вырастет / потому что //
text@nvz1954f	@nvz1954f	141.88	145.28	в экономике / в рублях Москва отскочила сильнее / потому что //
text@nvz1954f	@nvz1954f	145.87	151.545	этот кризис / это кризис в первую очередь / сектора рыночных услуг / где их больше всего ? в крупных городах //
text@nvz1954f	@nvz1954f	152.11	155.88	поэтому Москва упала / прилично // вопрос об отжался //
text@nvz1954f	@nvz1954f	156.66	161.69	и вот здесь мне кажется / да / что вся страна будет выходить и выползать из этого медленно //
text@nvz1954f	@nvz1954f	162.06	170.31	бюджетный кризис / кризис занятости // но его можно быстро порешать / прекратив платить пособия / их же на три месяца дали / повышенные эти / да ?
text@nvz1954f	@nvz1954f	170.88	179.82	а вернёте на полторы тысячи / так народ и отвалит / из служб занятости // всегда всегда есть простые и плохие решения / чаще всего выбирают их //
text@nvz1954f	@nvz1954f	180.28	182.83	из кризиса доходов населения быстро не выйдем //
text@nvz1954f	@nvz1954f	183.46	188.29	что ещё // бюджетка сказала // промышленный кризис пока // на марше
text@nvz1954f	@nvz1954f	189.26	196.08	могу сказать что и зная более свежие данные по бюджетам / и по бюджетам никакого улучшения нет / ни в июне ни в июле // никакого
text@nvz1954f	@nvz1954f	196.69	206.69	но в любом случае / да / мы будем медленно выползать из этого кризиса / потому что он широкий / тотальный / и он связан не только с нами / он ещё и с глобальным миром связан / и со спросом //
text@nvz1954f	@nvz1954f	207.25	216.85	но в любом случае / вот / как регионалист / голову даю на отсечение / Москва всё равно будет идти вверх / быстрее остальной страны //
text@nvz1954f	@nvz1954f	217.62	219.31	ну слишком много преимуществ //
text@nvz1954f	@nvz1954f	220.395	222.795	дай бог чтоб Питер тоже // но посмотрим //
text@nvz1954f	@nvz1954f	240.135	240.415	малый //
text@nvz1954f	@nvz1954f	245.78	247.02	это ему как повезло-то //
text@nvz1954f	@nvz1954f	253.545	255.05	стоп // вид деятельности
text@nvz1954f	@nvz1954f	256.685	257.745	вид деятельности //
text@nvz1954f	@nvz1954f	258.57	259.67	нет / не конкретно //
text@nvz1954f	@nvz1954f	260.66	262.14	ааа // прод непрод ?
text@nvz1954f	@nvz1954f	264.405	265.055	значит / блатной //
text@nvz1954f	@nvz1954f	267.885	268.125	как ?
text@nvz1954f	@nvz1954f	269.08	271.7	я только что вот / ммм два месяца назад
text@nvz1954f	@nvz1954f	272.295	272.705	хорошо //
text@nvz1954f	@nvz1954f	273.085	280.03	ааа в... месяц полтора назад / я / эээ работала онлайн / да / с конференцией / организованной на Урале //
text@nvz1954f	@nvz1954f	280.63	291.92	и представитель Деловой России / средний бизнес / на Урале // сказал / что хорошо  если десять процентов / МСП / получили помощь / хорошо / и то она включает все виды //
text@nvz1954f	@nvz1954f	292.61	296.85	в том числе отложенные налоговые платежи и прочее / для помощи //
text@nvz1954f	@nvz1954f	297.805	299.045	как он мог получить ?
text@nvz1954f	@nvz1954f	301.56	301.83	ну хорошо //
text@nvz1954f	@nvz1954f	307.525	308.13	в конверте //
text@nvz1954f	@nvz1954f	313.54	317.11	детский вопрос / на что он получил эту помощь ? там видов много //
text@nvz1954f	@nvz1954f	320.055	323.82	то есть он не увольнял и ему #одновременно# // так / поняла / поняла //
text@nvz1954f	@nvz1954f	325.498	325.888	это хорошо //
text@nvz1954f	@nvz1954f	332.078	335.49	то ему государство простит // девяносто процентов / да //
text@nvz1954f	@nvz1954f	337.69	338.075	угу //
text@nvz1954f	@nvz1954f	340.82	343.715	страховые убрали // да / то есть убрали страховые //
words@nns1982m	@nns1982m	0.93	1.233	я
words@nns1982m	@nns1982m	1.233	1.536	вот
words@nns1982m	@nns1982m	1.536	1.839	эээ
words@nns1982m	@nns1982m	1.839	2.142	смотрел
words@nns1982m	@nns1982m	2.142	2.445	ваше
words@nns1982m	@nns1982m	2.445	2.748	знаменитое
words@nns1982m	@nns1982m	2.748	3.051	выступление
words@nns1982m	@nns1982m	3.051	3.354	в
words@nns1982m	@nns1982m	3.354	3.657	совете
words@nns1982m	@nns1982m	3.657	3.96	федерации
words@nns1982m	@nns1982m	3.96	4.263	/
words@nns1982m	@nns1982m	4.263	4.57	/
words@nns1982m	@nns1982m	5.64	5.874	где
words@nns1982m	@nns1982m	5.874	6.108	вы
words@nns1982m	@nns1982m	6.108	6.342	в
words@nns1982m	@nns1982m	6.342	6.576	конце
words@nns1982m	@nns1982m	6.576	6.81	/
words@nns1982m	@nns1982m	6.81	7.044	на
words@nns1982m	@nns1982m	7.044	7.278	последнем
words@nns1982m	@nns1982m	7.278	7.512	слайде
words@nns1982m	@nns1982m	7.512	7.746	/
words@nns1982m	@nns1982m	7.746	7.98	/
words@nns1982m	@nns1982m	8.92	9.183	показываете
words@nns1982m	@nns1982m	9.183	9.446	/
words@nns1982m	@nns1982m	9.446	9.709	эээ
words@nns1982m	@nns1982m	9.709	9.972	/
words@nns1982m	@nns1982m	9.972	10.235	те
words@nns1982m	@nns1982m	10.235	10.498	вызовы
words@nns1982m	@nns1982m	10.498	10.761	/
words@nns1982m	@nns1982m	10.761	11.024	перед
words@nns1982m	@nns1982m	11.024	11.287	которыми
words@nns1982m	@nns1982m	11.287	11.55	стоит
words@nns1982m	@nns1982m	11.55	11.813	страна
words@nns1982m	@nns1982m	11.813	12.076	/
words@nns1982m	@nns1982m	12.076	12.34	/
words@nns1982m	@nns1982m	13.43	13.594	в
words@nns1982m	@nns1982m	13.594	13.758	какой-то
words@nns1982m	@nns1982m	13.758	13.922	ближайшей
words@nns1982m	@nns1982m	13.922	14.086	перс...
words@nns1982m	@nns1982m	14.086	14.25	ещё
words@nns1982m	@nns1982m	14.25	14.414	не
words@nns1982m	@nns1982m	14.414	14.578	было
words@nns1982m	@nns1982m	14.578	14.742	пандемии
words@nns1982m	@nns1982m	14.742	14.906	/
words@nns1982m	@nns1982m	14.906	15.07	/
words@nns1982m	@nns1982m	15.07	15.234	ещё
